step,episode/success_rate,val/success_rate,critic/score/mean,actor/kl_loss,actor/entropy_loss,actor/pg_loss,actor/grad_norm,episode/valid_action_ratio,episode/length/mean,response_length/mean
0,,0.1640625,,,,,,,,
1,0.1015625,,0.5034666657447815,0.004540338180959225,0.6217492818832397,-0.040945522487163544,2.0155680179595947,0.4031575620174408,47.609375,141.8089141845703
2,0.046875,,0.26017987728118896,0.023383690044283867,0.6062926054000854,0.0037659513764083385,2.010507106781006,0.5557133555412292,49.15625,136.77557373046875
3,0.2734375,,1.5161336660385132,0.03546299412846565,0.5621899962425232,-0.01908291131258011,1.9942820072174072,0.8088662624359131,42.9296875,133.87608337402344
4,0.2109375,,0.8940193057060242,0.016202248632907867,0.5719563961029053,-0.00285090203396976,1.5740045309066772,0.9962284564971924,43.3359375,131.75161743164062
5,0.171875,,0.8086710572242737,0.02280770055949688,0.5679507851600647,0.01104858610779047,0.6898555755615234,0.9994848966598511,45.015625,132.15419006347656
6,0.328125,,1.3160656690597534,0.024894800037145615,0.5415658950805664,0.016376974061131477,0.7932655215263367,0.9995993375778198,38.703125,134.73297119140625
7,0.359375,,2.2496047019958496,0.023838242515921593,0.5593776106834412,-0.0025245691649615765,1.1761798858642578,0.9998117685317993,41.328125,137.67713928222656
8,0.2890625,,1.3365963697433472,0.026361478492617607,0.5597562193870544,0.015628814697265625,0.8462942838668823,1.0,41.0078125,150.2884063720703
9,0.2890625,,1.1400270462036133,0.032973513007164,0.5809788107872009,-0.020171411335468292,0.8998052477836609,0.9998071193695068,40.0859375,145.7856903076172
10,0.34375,0.2890625,1.9969130754470825,0.033049363642930984,0.5788925886154175,0.053322914987802505,1.2273849248886108,0.9996188879013062,41.0,150.052978515625
11,0.3515625,,1.742444634437561,0.039661798626184464,0.5805897116661072,0.0011571943759918213,1.1049153804779053,0.9996044039726257,39.265625,153.8607635498047
12,0.3203125,,1.5393518209457397,0.03983797878026962,0.5625813007354736,-0.018926123157143593,0.74518221616745,1.0,40.15625,149.7679443359375
13,0.3125,,1.5681782960891724,0.04684681072831154,0.5680728554725647,0.019780773669481277,0.8139196634292603,0.9996188879013062,40.7578125,143.6777801513672
14,0.2734375,,1.5624821186065674,0.04306037351489067,0.5764312744140625,-0.0021728547289967537,0.6557019948959351,0.9998204112052917,43.015625,142.93121337890625
15,0.3203125,,1.2159454822540283,0.037421148270368576,0.5811188220977783,0.0038578184321522713,0.7165578007698059,1.0,38.71875,151.3565673828125
16,0.3671875,,1.832932710647583,0.04856172204017639,0.570941150188446,0.014025813899934292,0.7384660840034485,1.0,38.734375,140.70973205566406
17,0.4765625,,2.6605470180511475,0.05274069309234619,0.5773192048072815,-0.02044573426246643,1.1775376796722412,0.9995659589767456,35.65625,151.27560424804688
18,0.21875,,0.9823994040489197,0.050863947719335556,0.5791993737220764,0.007079302333295345,0.3943668603897095,1.0,43.3046875,156.24281311035156
19,0.515625,,3.0066964626312256,0.05823179706931114,0.5736199617385864,-0.009363466873764992,1.1364600658416748,1.0,34.5859375,149.34442138671875
20,0.453125,0.390625,1.7840485572814941,0.06849505752325058,0.5516762137413025,0.02210375666618347,0.8390709161758423,1.0,33.28125,152.29803466796875
21,0.2578125,,0.8517149090766907,0.05884581059217453,0.5636850595474243,-0.008236648514866829,0.7400767207145691,0.9996188879013062,40.5859375,147.76524353027344
22,0.34375,,1.6791733503341675,0.05617489665746689,0.5889244675636292,0.01012225542217493,0.8778425455093384,0.9998022317886353,39.4375,148.46360778808594
23,0.2109375,,1.0709093809127808,0.060098953545093536,0.597042977809906,0.005691469646990299,0.8856002688407898,0.9998244643211365,44.1875,152.92872619628906
24,0.453125,,2.3763020038604736,0.080096535384655,0.6022558808326721,0.006337863393127918,1.0118141174316406,1.0,35.8671875,156.33702087402344
25,0.453125,,2.4935574531555176,0.10559389740228653,0.6121708154678345,-0.01868833415210247,1.0314736366271973,0.9997859597206116,36.4375,150.41310119628906
26,0.40625,,2.357752561569214,0.08187289535999298,0.5972728729248047,0.02668800763785839,1.1863397359848022,0.9997996687889099,38.84375,148.67428588867188
27,0.4453125,,2.668565034866333,0.09805253893136978,0.6316168904304504,-0.01081851590424776,0.9329097867012024,0.9997944235801697,37.8515625,152.81373596191406
28,0.390625,,2.0271713733673096,0.09652994573116302,0.6287212371826172,0.014413994736969471,0.7604940533638,0.9997971057891846,38.1875,152.46591186523438
29,0.34375,,1.8499228954315186,0.0975533276796341,0.6343144774436951,0.012394798919558525,0.939368486404419,1.0,40.265625,150.82176208496094
30,0.390625,0.375,2.101302146911621,0.08537983894348145,0.6179534196853638,0.016093062236905098,0.9980090856552124,0.9993990659713745,38.578125,146.935302734375
31,0.3984375,,2.3239517211914062,0.08067610114812851,0.6256461143493652,0.04412871226668358,1.1815723180770874,0.9998022317886353,39.1953125,147.6702880859375
32,0.3359375,,1.7804783582687378,0.07978835701942444,0.6559937000274658,0.01583779975771904,0.7760538458824158,1.0,40.3984375,152.0580596923828
33,0.203125,,0.9585674405097961,0.10590860247612,0.6206304430961609,0.01682761125266552,0.6633760333061218,1.0,44.0625,157.286865234375
34,0.5703125,,2.526939630508423,0.10549668967723846,0.6570942997932434,0.00830588024109602,0.5221384763717651,1.0,28.734375,146.62985229492188
